source,target,attr_0
19036828,19020136,1
19036828,19036829,1
19036829,19036828,1
19036829,19041135,1
19041135,19036829,1
19041135,19044609,1
19041135,19019073,2
19041135,19054670,3
19041135,19020053,1
19044609,19041135,1
19044609,19044757,1
19044757,19044609,1
19044757,19049335,1
19049335,19044757,1
19049335,19054670,1
19049335,19033354,1
19049335,19057271,1
19054670,19049335,1
19054670,19055036,4
19054670,19041135,3
19055036,19054670,4
19055036,19055848,4
19055848,19055036,4
19055848,19061731,3
19055848,19057128,1
19061731,19055848,3
19061731,19069200,1
19061731,19077344,2
19061731,19090159,1
19061731,19057128,1
19069200,19061731,1
19069200,19070224,1
19070224,19069200,1
19070224,19072176,1
19072176,19070224,1
19072176,19072240,1
19072176,19067230,1
19072176,19073093,1
19072240,19072176,1
19072240,19073712,1
19073712,19072240,1
19073712,19075153,1
19073712,19046742,1
19073712,19075601,1
19073712,19020053,1
19073712,19078924,1
19073712,19073093,1
19073712,19075343,1
19075153,19073712,1
19075153,19075380,1
19075380,19075153,1
19075380,19076175,1
19075380,19075343,1
19075380,19077546,1
19075380,19075378,1
19075380,19075955,1
19076175,19075380,1
19076175,19076659,1
19076175,19075955,1
19076175,19078106,1
19076659,19076175,1
19076659,19077342,1
19077342,19076659,1
19077342,19077344,1
19077344,19077342,1
19077344,19077546,1
19077344,19061731,2
19077344,19090159,2
19077344,19075034,1
19077344,19077513,1
19077546,19077344,1
19077546,19078552,1
19077546,19075380,1
19077546,19079151,1
19078552,19077546,1
19078552,19078555,1
19078552,19078344,1
19078552,19078921,1
19078555,19078552,1
19078555,19078921,1
19078555,19078106,1
19078555,19078612,1
19078921,19078555,1
19078921,19078924,3
19078921,19078552,1
19078921,19077607,1
19078921,19077550,1
19078921,19134047,1
19078924,19078921,3
19078924,19079028,1
19078924,19073712,1
19078924,19079524,1
19078924,19079322,1
19078924,19078612,1
19078924,19079351,1
19078924,19080217,1
19079028,19078924,1
19079028,19079119,1
19079119,19079028,1
19079119,19079322,1
19079322,19079119,1
19079322,19079658,1
19079322,19078924,1
19079322,19079527,1
19079658,19079322,1
19079658,19080217,1
19079658,19079351,1
19079658,19080129,1
19090159,19080217,1
19090159,19093967,1
19090159,19077344,2
19090159,19096133,3
19090159,19061731,1
19093967,19090159,1
19093967,19096133,1
19093967,19080128,1
19093967,19112656,1
19096133,19093967,1
19096133,19098167,1
19096133,19090159,3
19096133,19111620,3
19098167,19096133,1
19098167,19110701,1
19110701,19098167,1
19110701,19111620,1
19111620,19110701,1
19111620,19121182,1
19111620,19096133,3
19111620,19135374,2
19111620,19134227,1
19121182,19111620,1
19121182,19121841,1
19121841,19121182,1
19121841,19124686,1
19124686,19121841,1
19124686,19126665,1
19126665,19124686,1
19126665,19127005,1
19127005,19126665,1
19127005,19130382,1
19130382,19127005,1
19130382,19131058,1
19131058,19130382,1
19131058,19135928,1
19131058,19123605,1
19131058,19131431,1
19131058,19123592,1
19131058,19131097,1
19135928,19131058,1
19135928,19137328,1
19135928,19135374,3
19135928,35603428,2
19135928,40065007,1
19137328,19135928,1
19137328,35602744,1
19137328,19134047,1
19137328,35603224,1
35602744,19137328,1
35602744,35603044,1
35603044,35602744,1
35603044,35603224,1
35603224,35603044,1
35603224,35604509,1
35603224,19133040,1
35603224,35603870,1
35603224,19137328,1
35603224,35605482,1
35604509,35603224,1
35604509,35605311,1
35604509,35604352,1
35604509,35605380,1
35605311,35604509,1
35605311,35605342,1
35605342,35605311,1
35605342,35605482,1
35605482,35605342,1
35605482,35605728,1
35605482,35605380,1
35605482,36249735,1
35605482,35604526,1
35605482,35606552,1
35605482,35604352,1
35605482,40162515,2
35605482,35603224,1
35605482,36249642,1
35605482,35604832,1
35605728,35605482,1
35605728,35605885,1
35605885,35605728,1
35605885,35606564,1
35606564,35605885,1
35606564,36249642,1
36249642,35606564,1
36249642,36249644,2
36249642,35606552,1
36249642,35605482,1
36249642,40160973,1
36249644,36249642,2
36249644,36249734,1
36249644,35603556,1
36249644,40162381,1
36249644,36249687,1
36249734,36249644,1
36249734,36249735,1
36249735,36249734,1
36249735,36249934,1
36249735,35605482,1
36249735,40162511,1
36249735,36249687,1
36249735,37003518,1
36249934,36249735,1
36249934,40163473,1
40163473,36249934,1
40163473,40163524,1
40163524,40163473,1
40163524,40163534,1
40163534,40163524,1
40163534,40163554,1
40163554,40163534,1
40163554,40164972,1
40164972,40163554,1
40164972,40167213,1
40167213,40164972,1
40167213,40167259,1
40167259,40167213,1
40167259,40168138,1
40167259,40167196,1
40167259,40167431,1
40168138,40167259,1
40168138,40171396,1
40171396,40168138,1
40171396,40220386,1
40171396,40169706,1
40171396,40174776,1
40220386,40171396,1
40220386,40221350,1
40221350,40220386,1
40221350,40221355,2
40221350,40185304,2
40221350,40221381,1
40221355,40221350,2
40221355,40221381,2
40221381,40221355,2
40221381,40225159,1
40221381,40166830,1
40221381,40232444,1
40221381,40226826,1
40221381,40221350,1
40221381,40221700,1
40221381,40166828,1
40221381,40221382,1
40221381,40164847,1
40221381,40223141,1
40225159,40221381,1
40225159,40225949,1
40225960,40225949,1
40225960,40226837,1
40226837,40225960,1
40226837,40226969,1
40226837,40223141,1
40226837,40227012,1
40226969,40226837,1
40226969,40227012,1
40227012,40226969,1
40227012,40227177,1
40227012,40226840,1
40227012,40229189,1
40227012,40225943,1
40227012,40227057,1
40227012,40223757,1
40227012,40239116,1
40227012,40222924,1
40227012,43011850,1
40227012,40226837,1
40227012,40232756,1
40227177,40227012,1
40227177,40232454,1
40232454,40227177,1
40232454,40232700,1
40232454,40227057,1
40232454,40236839,1
40232700,40232454,1
40232700,40232756,1
40232700,40232435,1
40232700,40233964,1
40232756,40232700,1
40232756,40234365,1
40232756,40221382,1
40232756,40240688,1
40232756,40227012,1
40232756,40239116,1
40234365,40232756,1
40234365,40236481,1
40236481,40234365,1
40236481,40236976,1
40236976,40236481,1
40236976,40239116,1
40239116,40236976,1
40239116,40241504,1
40239116,40231439,1
40239116,40240688,2
40239116,40227012,1
40239116,44506781,1
40239116,40232756,1
40241504,40239116,1
40241504,42707286,1
40241504,40240859,3
40241504,42629413,1
40241504,42707562,1
40241504,46287345,1
40241504,40240688,1
40241504,42708415,1
42707286,40241504,1
42707286,42707627,2
42707286,42629419,1
42707627,42707286,2
42707627,42899398,1
42707627,42708429,1
42707627,42707562,1
42707627,42708415,1
42899398,42707627,1
42899398,42900448,1
42900448,42899398,1
42900448,43011826,1
43011826,42900448,1
43011826,43011962,1
43011826,42708429,1
43011826,43013030,1
43011962,43011826,1
43011962,43560451,1
43560451,43011962,1
43560451,43677387,2
43560451,43531973,1
43560451,43012671,1
43677387,43560451,2
43677387,44506781,1
43677387,45776038,1
44506781,43677387,1
44506781,44785017,1
44506781,40240688,1
44506781,44814562,3
44506781,40239116,1
44506781,42708415,1
44785017,44506781,1
44785017,44814562,1
44814562,44785017,1
44814562,45775763,1
44814562,44506781,3
44814562,46287338,1
45775763,44814562,1
45775763,45775773,1
45775773,45775763,1
45775773,46234148,1
46234148,45775773,1
46234148,46275280,1
46275280,46234148,1
46275280,46275433,1
46275433,46275280,1
46275433,46275893,1
46275433,46275352,1
46275433,46275916,1
46275893,46275433,1
46275893,46275916,1
46275916,46275893,1
46275916,46287338,2
46275916,46275433,1
46287338,46275916,2
46287338,46287384,1
46287338,45776038,1
46287338,46287342,1
46287338,44814562,1
46287384,46287338,1
792781,974199,1
792781,0,1
792781,908523,1
974199,792781,1
974199,974200,1
974200,974199,1
974200,1301156,1
1301156,974200,1
723042,1322189,1
1322189,723042,1
1322189,1545997,1
1545997,1322189,1
1545997,1597772,1
1545997,1113346,1
1545997,19020053,1
1545997,1395573,1
1545997,1593063,1
1597772,1545997,1
1597772,19019336,1
19019336,1597772,1
19019336,19046742,1
19019336,19019334,1
19019336,19022749,1
19046742,19019336,1
19046742,19073712,1
19075601,19073712,1
19075601,19080129,1
19080129,19075601,1
19080129,35604302,1
19080129,19079658,1
19080129,19080217,1
35604302,19080129,1
35604302,40164897,1
40164897,35604302,1
40164897,40166830,1
40166830,40164897,1
40166830,40221381,1
40166830,40166824,1
40166830,40169706,1
40232444,40221381,1
736015,0,1
736015,1113346,1
19020053,1545997,1
19020053,19073712,1
19020053,19019418,1
19020053,19023551,1
19020053,19019073,1
19020053,19041135,1
19079524,19078924,1
19079524,40227049,1
40227049,19079524,1
40227049,40238017,1
40238017,40227049,1
40238017,42708415,1
523204,739209,1
739209,523204,1
739209,1707346,1
739209,739207,1
739209,787787,1
1707346,739209,1
1707346,19000500,1
19000500,1707346,1
19000500,19019116,1
19019116,19000500,1
19019116,19019418,1
19026476,19019418,1
19026476,19049684,1
19049684,19026476,1
19049684,19073093,1
19049684,19019003,1
19049684,19057271,1
19073093,19049684,1
19073093,19073712,1
19073093,19072176,1
19073093,19073094,1
19073093,19072934,1
19073093,19074523,1
19075343,19073712,1
19075343,19075380,1
19079151,19077546,1
19079151,19131109,1
19131109,19079151,1
19131109,19133280,1
19131109,19131097,1
19131109,19132040,1
19131109,19130450,1
19131109,36250115,1
19131109,19080159,1
19131109,37003518,1
19133280,19131109,1
19133280,35603556,1
19133280,19132040,1
19133280,19135374,1
35603556,19133280,1
35603556,36249644,1
40162381,36249644,1
40162381,40162515,1
40162515,40162381,1
40162515,40164863,2
40162515,40162511,2
40162515,40166540,1
40162515,35605482,2
40162515,40166828,1
40162515,40164847,1
40164863,40162515,2
40164863,40166165,1
40164863,40164929,1
40166165,40164863,1
40166165,40173507,1
40173507,40166165,1
40173507,40185276,1
40173507,40167431,1
40173507,40185280,1
40185276,40173507,1
40185276,42800473,1
42800473,40185276,1
42800473,43526395,1
42800473,37003436,1
42800473,43532840,1
42800473,42800034,1
42800473,42903714,1
43526395,42800473,1
43526395,43531929,1
43526395,42903714,1
43526395,43531882,1
43531929,43526395,1
43531929,44814412,1
44814412,43531929,1
44814412,46234523,1
46234523,44814412,1
46234523,45892519,1
1107882,0,1
1107882,1127433,1
1329476,1303339,1
1329476,1360067,1
1521369,1400498,1
1521369,1595799,1
19019073,19018482,3
19019073,19041135,2
19019073,1836434,1
19019073,19019418,1
19019073,19020053,1
19135374,19111620,2
19135374,19135928,3
19135374,19133280,1
19135374,35603600,1
19135374,19134227,1
19135374,19112656,1
19135374,35604352,1
35603428,19135928,2
35603428,40231439,1
35603428,35603814,1
40231439,35603428,1
40231439,40239116,1
40240688,40239116,2
40240688,44506781,1
40240688,40233964,1
40240688,40240859,3
40240688,40236839,1
40240688,40232756,1
40240688,40241504,1
997899,0,1
997899,1717707,1
1717707,997899,1
1717707,19027427,1
19027427,1717707,1
19027427,19075430,1
19075430,19027427,1
19075430,19076145,1
19076145,19075430,1
19076145,19102189,1
19102189,19076145,1
19102189,19131610,1
19131610,19102189,1
19131610,37003436,1
37003436,19131610,1
37003436,42800473,1
46287424,43532840,1
46287424,46287345,1
46287424,46287474,1
908523,792781,1
908523,915209,1
915209,908523,1
915209,938330,1
915209,906116,1
915209,922806,1
963359,938330,1
963359,967434,1
963359,922806,1
963359,996625,1
967434,963359,1
967434,968304,1
967434,0,1
967434,1127433,1
968474,968304,1
968474,1113076,1
1113076,968474,1
1113076,1113346,1
1134771,1127433,1
1134771,1301154,1
1301154,1134771,1
1301154,1308251,1
1308251,1301154,1
1308251,1308797,1
1308797,1308251,1
1308797,1332419,1
1332419,1308797,1
1332419,1346990,1
1332419,1308221,1
1332419,1341270,1
1346990,1332419,1
1346990,1361660,1
1361660,1346990,1
1361660,1363058,1
1363058,1361660,1
1363058,1366755,1
1506426,1366755,1
1506426,1545996,1
1545996,1506426,1
1545996,1560751,1
1593611,1560751,1
1593611,1707348,1
1836434,1718752,1
1836434,19005965,1
1836434,1754996,1
1836434,19019073,1
19005965,1836434,1
19005965,19007652,1
19005965,1754995,1
19005965,19019003,1
19007652,19005965,1
19007652,19018750,1
19018781,19018750,1
19018781,19019334,1
19019334,19018781,1
19019334,19019336,1
19022749,19019336,1
19022749,19029026,1
19029026,19022749,1
19029026,19033354,1
19033354,19029026,1
19033354,19049335,1
19057271,19049335,1
19057271,19067230,1
19057271,19049684,1
19057271,19070869,1
19067230,19057271,1
19067230,19072176,1
19073094,19073093,1
19073094,19077241,1
19077653,19077241,1
19077653,19078344,1
19078344,19077653,1
19078344,19078552,1
19079527,19079322,1
19079527,19080128,1
19080128,19079527,1
19080128,19093967,1
19080128,19075602,1
19080128,19080159,1
19112656,19093967,1
19112656,19123592,1
19112656,19106768,1
19112656,19114106,1
19112656,19080985,1
19112656,19135374,1
19123592,19112656,1
19123592,19123605,1
19123592,19114106,1
19123592,19131058,1
19123605,19123592,1
19123605,19131058,1
19131431,19131058,1
19131431,19133040,1
19133040,19131431,1
19133040,35603224,1
35603870,35603224,1
35603870,35604352,1
35604352,35603870,1
35604352,35604509,1
35604352,35603600,1
35604352,35604526,1
35604352,19135374,1
35604352,35605482,1
35605380,35604509,1
35605380,35605482,1
40162511,36249735,1
40162511,40162515,2
40162511,40162494,1
40166540,40162515,1
40166540,40167196,1
40167196,40166540,1
40167196,40167259,1
40167431,40167259,1
40167431,40173507,1
40185280,40173507,1
40185280,40185304,1
40185304,40185280,1
40185304,40221350,2
40185304,40175289,1
40226826,40221381,1
40226826,40226840,1
40226840,40226826,1
40226840,40227012,1
40229189,40227012,1
40229189,40232435,1
40232435,40229189,1
40232435,40232700,1
40233964,40232700,1
40233964,40240688,1
40240859,40240688,3
40240859,40241504,3
42629413,40241504,1
42629413,42629419,1
42629419,42629413,1
42629419,42707286,1
42708429,42707627,1
42708429,43011826,1
42708429,42708415,1
42708429,42800034,1
43013030,43011826,1
43013030,43526896,1
43526896,43013030,1
43526896,43531769,1
43531769,43526896,1
43531769,43531973,1
43531973,43531769,1
43531973,43560451,1
45776038,43677387,1
45776038,46287338,1
45776038,45774754,1
45776038,45776321,1
717165,0,1
717165,739207,1
739207,717165,1
739207,739209,1
787787,739209,1
787787,798875,1
798875,787787,1
798875,906116,1
906116,798875,1
906116,915209,1
996625,963359,1
996625,1127433,1
1136682,1127433,1
1136682,1136687,1
1136682,984237,1
1136682,1551101,1
1136687,1136682,1
1136687,1308221,1
1308221,1136687,1
1308221,1332419,1
1341270,1332419,1
1341270,1341302,1
1341302,1341270,1
1341302,1395573,1
1395573,1341302,1
1395573,1545997,1
1593742,1593063,1
1593742,1716903,1
1716903,1593742,1
1716903,1754996,1
1754996,1716903,1
1754996,1836434,1
1754996,1708995,1
1754996,19008700,1
19057064,19023551,1
19057064,19058398,1
19058398,19057064,1
19058398,19064496,1
19064496,19058398,1
19064496,19072933,1
19072933,19064496,1
19072933,19072934,1
19072934,19072933,1
19072934,19073093,1
19074523,19073093,1
19074523,19075034,1
19075034,19074523,1
19075034,19075378,1
19075034,19070869,1
19075034,19077344,1
19075378,19075034,1
19075378,19075380,1
19075955,19075380,1
19075955,19076175,1
19078106,19076175,1
19078106,19078555,1
19078612,19078555,1
19078612,19078924,1
19079351,19078924,1
19079351,19079658,1
19102471,19080217,1
19102471,19106768,1
19106768,19102471,1
19106768,19112656,1
19114106,19112656,1
19114106,19123592,1
19131097,19131058,1
19131097,19131109,1
19132040,19131109,1
19132040,19133280,1
35604526,35604352,1
35604526,35605482,1
35606552,35605482,1
35606552,36249642,1
36249687,36249644,1
36249687,36249735,1
37003518,36249735,1
37003518,40162494,1
37003518,19131109,1
37003518,40162443,1
40164929,40164863,1
40164929,40166824,1
40166824,40164929,1
40166824,40166830,1
40169706,40166830,1
40169706,40171396,1
40174776,40171396,1
40174776,40175289,1
40175289,40174776,1
40175289,40185304,1
40223141,40221700,1
40223141,40225943,1
40223141,40221381,1
40223141,40226837,1
40225943,40223141,1
40225943,40227012,1
40227057,40227012,1
40227057,40232454,1
40236839,40232454,1
40236839,40240688,1
42707562,40241504,1
42707562,42707627,1
42800034,42708429,1
42800034,42800473,1
42903714,42800473,1
42903714,43526395,1
43531882,43526395,1
43531882,45774754,1
45774754,43531882,1
45774754,45776038,1
45776321,45776038,1
45776321,46234349,1
46234349,45776321,1
46234349,46275347,1
46275347,46234349,1
46275347,46275352,1
46275352,46275347,1
46275352,46275433,1
46287342,46287338,1
1153013,1127433,1
1153013,1192219,1
1192219,1153013,1
1192219,1192251,1
1192251,1192219,1
1192251,1201620,1
1201620,1192251,1
1201620,1750562,1
1750562,1201620,1
1750562,35606533,1
1750562,1551101,1
1750562,19023368,1
35606533,1750562,1
984237,0,1
984237,1136682,1
1551101,1136682,1
1551101,1750562,1
19023564,19023368,1
19023564,19077793,1
19077793,19023564,1
19077793,19079714,1
19079714,19077793,1
19079714,19098138,1
19098138,19079714,1
19098138,19115197,1
19123202,19115197,1
19123202,19130450,1
19130450,19123202,1
19130450,19131109,1
36250115,19131109,1
36250115,36250122,1
36250122,36250115,1
36250122,36250141,1
42799410,36250141,1
42799410,43012671,1
43012671,42799410,1
43012671,44785544,1
43012671,43011850,1
43012671,43560451,1
44785544,43012671,1
44785544,45892519,1
45892519,44785544,1
45892519,46234523,1
901660,0,1
901660,1300751,1
1750299,1595799,1
1750299,19000753,1
19134227,19111620,1
19134227,19135374,1
40065007,19135928,1
40065007,40223757,1
40223757,40065007,1
40223757,40227012,1
719416,0,1
719416,1708995,1
1708995,719416,1
1708995,1754996,1
19008700,1754996,1
19008700,19019072,1
19019072,19008700,1
19019072,19073219,1
19073219,19019072,1
19073219,19073777,1
19075602,19073777,1
19075602,19080128,1
19080159,19080128,1
19080159,19131109,1
40162443,37003518,1
40162443,40162447,1
40162447,40162443,1
40162447,40169560,1
40169560,40162447,1
40169560,40175174,1
40175174,40169560,1
40175174,40175210,1
40176686,40175210,1
40176686,40221871,1
40221871,40176686,1
19019074,19012705,1
19019074,19077607,1
19077607,19019074,1
19077607,19078921,1
19080985,19080217,1
19080985,19112656,1
40166828,40162515,1
40166828,40221381,1
40221382,40221381,1
40221382,40232756,1
46287345,40241504,1
46287345,46287424,1
46287474,46287424,1
906891,740243,1
906891,932749,1
956877,932777,1
956877,957235,1
957235,956877,1
957235,970282,1
970282,957235,1
970282,970283,1
970283,970282,1
970283,987250,1
987250,970283,1
987250,1167323,1
1167323,987250,1
1167323,1707348,1
1735948,1707348,1
1735948,1754995,1
1754995,1735948,1
1754995,19005965,1
19019003,19005965,1
19019003,19049684,1
19070869,19057271,1
19070869,19075034,1
19077513,19077344,1
19077513,19077550,1
19077550,19077513,1
19077550,19078921,1
19134047,19078921,1
19134047,19137328,1
40160973,36249642,1
40160973,40163817,1
40163817,40160973,1
40163817,40222636,1
40222636,40163817,1
40222636,40222918,1
40222918,40222636,1
40222918,40222924,1
40222924,40222918,1
40222924,40227012,1
43011850,40227012,1
43011850,43012671,1
1519937,1400498,1
1519937,1595799,1
1703691,1595799,1
1703691,19000753,1
19057128,19055848,1
19057128,19061731,1
35603814,35603428,1
35603814,35603815,1
35603815,35603814,1
35603815,35604832,1
35604832,35603815,1
35604832,35605482,1
40164847,40162515,1
40164847,40221381,1
